task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,reused,reuse_source,wall_time_s,train_groups,validation_groups,calibration_groups,test_groups
I_dark,51,curve_lut,0.06124521538824967,0.053746680464223234,0.8992436646518855,4.3757496294418566e-08,3.591596593818153e-08,10.45748186166976,22.766596722318997,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_51/I_dark/curve_lut/test_predictions.csv,0.029866949999998837,104,16,24,16
I_photo,42,bkan,0.002902410304098977,0.00235892384622248,0.9833876633297289,3.3205893825309946e-06,2.702819144877225e-06,0.5156392431901664,1.4976116858584445,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_42/I_photo/bkan/test_predictions.csv,0.0356322889999916,104,16,24,16
I_photo,42,dkan,0.0033052244887896093,0.0025826795119144232,0.9784565609024457,3.803899795586746e-06,2.963382274839774e-06,0.4312858531439026,1.5705625935734755,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_42/I_photo/dkan/test_predictions.csv,0.029446252999989042,104,16,24,16
I_photo,42,mlp_l,0.003644250442187109,0.0028083789803687535,0.9738103593219422,4.133879999005583e-06,3.1951154161547852e-06,0.5148673678566894,1.6598645192245283,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_42/I_photo/mlp_l/test_predictions.csv,0.030329074999997374,104,16,24,16
I_photo,42,spline_ridge,0.0038682627021478402,0.003350923302173965,0.9704916429179871,4.4333735537710845e-06,3.836520499089889e-06,0.746878101572098,1.6177731047404114,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_42/I_photo/spline_ridge/test_predictions.csv,0.03010471500000733,104,16,24,16
I_photo,42,gmls,0.007383340013258713,0.005280150106430025,0.8924974299099576,8.341729746295056e-06,5.99027994158588e-06,0.7798890251468982,3.7086387896347253,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_42/I_photo/gmls/test_predictions.csv,0.030494584999999574,104,16,24,16
I_photo,42,autopinn,0.004000861119284738,0.0029549586803915735,0.9684339629554748,4.487408073853266e-06,3.3400904845051694e-06,0.41036156773357224,1.7627708431897475,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_42/I_photo/autopinn/test_predictions.csv,0.03010250699999517,104,16,24,16
I_photo,42,curve_lut,0.0041350113260664855,0.003061094473725077,0.9662816343031613,4.720688540411326e-06,3.49761913849956e-06,0.5519569308423327,1.9007062018695844,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_42/I_photo/curve_lut/test_predictions.csv,0.03127764500000296,104,16,24,16
I_photo,43,bkan,0.006033600688796838,0.004967014467867754,0.9342419643065444,6.868299988892452e-06,5.674575683095431e-06,1.213703753932824,3.0986534784535777,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_43/I_photo/bkan/test_predictions.csv,0.03496233399999937,104,16,24,16
I_photo,43,dkan,0.006523360529308418,0.005282636773135178,0.9231332595065331,7.427658013611898e-06,6.035018821365775e-06,1.133457866582774,2.8317113629521717,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_43/I_photo/dkan/test_predictions.csv,0.029861637999999857,104,16,24,16
I_photo,43,mlp_l,0.00583095496659989,0.005097142775421797,0.9385849122180113,6.671970768580977e-06,5.846326617984347e-06,1.1154756279055413,2.4985147516795796,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_43/I_photo/mlp_l/test_predictions.csv,0.03054866799999445,104,16,24,16
I_photo,43,spline_ridge,0.006367981038230274,0.005268559602805064,0.9267514173778629,7.268657087349898e-06,6.020020087436991e-06,1.3621609105391548,2.690534141793255,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_43/I_photo/spline_ridge/test_predictions.csv,0.029847699999990596,104,16,24,16
I_photo,43,gmls,0.012142916733867956,0.00902947292668465,0.7336567245683971,1.3757946583231985e-05,1.0316167767813182e-05,1.839156164427469,4.366410205782993,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_43/I_photo/gmls/test_predictions.csv,0.029763118000005306,104,16,24,16
I_photo,43,autopinn,0.006154508151345606,0.005354337350099618,0.9315801047791966,7.014339940971869e-06,6.128936675788165e-06,1.1315071145529,2.4402417344538048,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_43/I_photo/autopinn/test_predictions.csv,0.029641442000013285,104,16,24,16
I_photo,43,curve_lut,0.008617572692141837,0.006351356569162131,0.865857741735426,9.866111123603885e-06,7.266449384139766e-06,1.0770738577982537,4.289031882768846,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_43/I_photo/curve_lut/test_predictions.csv,0.030168080999999347,104,16,24,16
I_photo,44,bkan,0.004205486978872185,0.0033815541836836587,0.9652973470324704,4.807319099351946e-06,3.8666939916996175e-06,0.6580716729655839,1.7525233452455826,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_44/I_photo/bkan/test_predictions.csv,0.03446152499999755,104,16,24,16
