task,sample_id,structure_group_id,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,simulation_temperature,ge_width_scale,optical_power_W,voltage_at_gain_threshold_v,_curve_id
APD_V_M10,apd_20260818_00034,apd_structure_20260818_00017,5.508040082827e-10,3690.8621867634574,677.1794686765486,300.37786186504314,0.9806013458178282,1e-07,-9.50558122424954,apd_structure_20260818_00017
APD_V_M10,apd_20260818_00036,apd_structure_20260818_00018,2.5879846703805217e-10,2189.013866229546,506.4806472784044,309.49363110455795,0.9831125820265924,1e-07,-9.494591231439662,apd_structure_20260818_00018
APD_V_M10,apd_20260818_00037,apd_structure_20260818_00018,2.5879846703805217e-10,2189.013866229546,506.4806472784044,309.49363110455795,0.9831125820265924,3e-07,-9.476935054570918,apd_structure_20260818_00018
APD_V_M10,apd_20260818_00039,apd_structure_20260818_00019,9.02267941293313e-10,3197.6727506734787,827.3806983790494,287.3523813412576,1.0182282241735403,3e-07,-9.521691131827104,apd_structure_20260818_00019
APD_V_M10,apd_20260818_00038,apd_structure_20260818_00019,9.02267941293313e-10,3197.6727506734787,827.3806983790494,287.3523813412576,1.0182282241735403,1e-07,-9.520651917805594,apd_structure_20260818_00019
APD_V_M10,apd_20260818_00041,apd_structure_20260818_00020,5.1957230153450954e-09,3323.7857184274167,604.8101490093811,308.5637652864152,1.0023769473806974,3e-07,-9.481905542711484,apd_structure_20260818_00020
APD_V_M10,apd_20260818_00043,apd_structure_20260818_00021,4.05488613972468e-09,3818.571721799695,554.2683173273701,311.15371087271114,1.0027698201842064,3e-07,-9.479664304840348,apd_structure_20260818_00021
APD_V_M10,apd_20260818_00040,apd_structure_20260818_00020,5.1957230153450954e-09,3323.7857184274167,604.8101490093811,308.5637652864152,1.0023769473806974,1e-07,-9.468670058926234,apd_structure_20260818_00020
APD_V_M10,apd_20260818_00042,apd_structure_20260818_00021,4.05488613972468e-09,3818.571721799695,554.2683173273701,311.15371087271114,1.0027698201842064,1e-07,-9.481526930795374,apd_structure_20260818_00021
APD_V_M10,apd_20260818_00047,apd_structure_20260818_00023,1.7607656396827267e-09,3484.346054075727,549.6404230771765,314.17499106794776,0.9869318546665848,3e-07,-9.48254952579411,apd_structure_20260818_00023
APD_V_M10,apd_20260818_00046,apd_structure_20260818_00023,1.7607656396827267e-09,3484.346054075727,549.6404230771765,314.17499106794776,0.9869318546665848,1e-07,-9.507166843628884,apd_structure_20260818_00023
APD_V_M10,apd_20260818_00044,apd_structure_20260818_00022,3.7694202401012766e-10,2692.5579368535546,647.913777974493,285.0759030577284,0.9823532510133982,1e-07,-9.450899975071746,apd_structure_20260818_00022
APD_V_M10,apd_20260818_00045,apd_structure_20260818_00022,3.7694202401012766e-10,2692.5579368535546,647.913777974493,285.0759030577284,0.9823532510133982,3e-07,-9.46974782773327,apd_structure_20260818_00022
APD_V_M10,apd_20260818_00048,apd_structure_20260818_00024,1.8510801728105726e-10,3674.328718090932,796.2090652502966,294.9890072516213,0.9873217569062192,1e-07,-9.467378589240248,apd_structure_20260818_00024
APD_V_M10,apd_20260818_00049,apd_structure_20260818_00024,1.8510801728105726e-10,3674.328718090932,796.2090652502966,294.9890072516213,0.9873217569062192,3e-07,-9.473456822849707,apd_structure_20260818_00024
APD_V_M10,apd_20260818_00050,apd_structure_20260818_00025,5.004609875207597e-10,3497.054718687623,577.7295166313186,305.02125564771416,1.007018305338989,1e-07,-9.48131098574563,apd_structure_20260818_00025
APD_V_M10,apd_20260818_00051,apd_structure_20260818_00025,5.004609875207597e-10,3497.054718687623,577.7295166313186,305.02125564771416,1.007018305338989,3e-07,-9.493436617820146,apd_structure_20260818_00025
APD_V_M10,apd_20260818_00054,apd_structure_20260818_00027,2.565467728384782e-09,2623.429929559898,910.1294117087828,297.1920359496207,0.990397211043174,1e-07,-9.493942344432211,apd_structure_20260818_00027
APD_V_M10,apd_20260818_00055,apd_structure_20260818_00027,2.565467728384782e-09,2623.429929559898,910.1294117087828,297.1920359496207,0.990397211043174,3e-07,-9.478918437296874,apd_structure_20260818_00027
APD_V_M10,apd_20260818_00058,apd_structure_20260818_00029,1.4201946017581775e-10,4354.3001425038765,639.1572845170929,304.2000238566632,1.0146574989238817,1e-07,-9.446056468837392,apd_structure_20260818_00029
APD_V_M10,apd_20260818_00060,apd_structure_20260818_00030,1.6290642420693248e-10,3308.704491088767,895.5068384727402,302.12395191204007,0.999961514921804,1e-07,-9.523008756438877,apd_structure_20260818_00030
APD_V_M10,apd_20260818_00056,apd_structure_20260818_00028,2.6618700955104124e-09,2860.334943992341,890.683142934935,287.9877476865427,0.9896840067824666,1e-07,-9.48146710445756,apd_structure_20260818_00028
APD_V_M10,apd_20260818_00059,apd_structure_20260818_00029,1.4201946017581775e-10,4354.3001425038765,639.1572845170929,304.2000238566632,1.0146574989238817,3e-07,-9.452601942856496,apd_structure_20260818_00029
APD_V_M10,apd_20260818_00057,apd_structure_20260818_00028,2.6618700955104124e-09,2860.334943992341,890.683142934935,287.9877476865427,0.9896840067824666,3e-07,-9.48006983591927,apd_structure_20260818_00028
APD_V_M10,apd_20260818_00061,apd_structure_20260818_00030,1.6290642420693248e-10,3308.704491088767,895.5068384727402,302.12395191204007,0.999961514921804,3e-07,-9.513367166992085,apd_structure_20260818_00030
APD_V_M10,apd_20260818_00062,apd_structure_20260818_00031,5.108293786306503e-09,3218.300499079399,607.3559406322939,313.5958482831886,1.0140460141293712,1e-07,-9.541679262553671,apd_structure_20260818_00031
APD_V_M10,apd_20260818_00064,apd_structure_20260818_00032,1.2052441152916886e-09,4268.885178750791,488.6834142141717,312.50602205637506,0.9954647808893798,1e-07,-9.46821016841354,apd_structure_20260818_00032
APD_V_M10,apd_20260818_00068,apd_structure_20260818_00034,2.4334441314331327e-10,2790.679961818094,758.042644483998,310.3011479377425,0.9835177590284097,1e-07,-9.512598142369852,apd_structure_20260818_00034
APD_V_M10,apd_20260818_00066,apd_structure_20260818_00033,5.52138191074268e-09,4234.056636123074,807.8992248298441,298.90757336310486,1.001136454852969,1e-07,-9.477486791184838,apd_structure_20260818_00033
APD_V_M10,apd_20260818_00065,apd_structure_20260818_00032,1.2052441152916886e-09,4268.885178750791,488.6834142141717,312.50602205637506,0.9954647808893798,3e-07,-9.47328846696434,apd_structure_20260818_00032
APD_V_M10,apd_20260818_00063,apd_structure_20260818_00031,5.108293786306503e-09,3218.300499079399,607.3559406322939,313.5958482831886,1.0140460141293712,3e-07,-9.50845175296584,apd_structure_20260818_00031
APD_V_M10,apd_20260818_00067,apd_structure_20260818_00033,5.52138191074268e-09,4234.056636123074,807.8992248298441,298.90757336310486,1.001136454852969,3e-07,-9.474173819228564,apd_structure_20260818_00033
APD_V_M10,apd_20260818_00069,apd_structure_20260818_00034,2.4334441314331327e-10,2790.679961818094,758.042644483998,310.3011479377425,0.9835177590284097,3e-07,-9.509730681928175,apd_structure_20260818_00034
APD_V_M10,apd_20260818_00072,apd_structure_20260818_00036,6.49586123107904e-10,3144.9178935311074,685.4355243477925,314.9214877143589,1.0038316248159105,1e-07,-9.481898543682068,apd_structure_20260818_00036
APD_V_M10,apd_20260818_00076,apd_structure_20260818_00038,3.529172143277309e-09,4089.346553115755,620.3363071038782,302.4034960126382,1.0122644318625371,1e-07,-9.51009377713229,apd_structure_20260818_00038
APD_V_M10,apd_20260818_00070,apd_structure_20260818_00035,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,1e-07,-9.499707877994355,apd_structure_20260818_00035
APD_V_M10,apd_20260818_00074,apd_structure_20260818_00037,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,1e-07,-9.46918511621021,apd_structure_20260818_00037
APD_V_M10,apd_20260818_00073,apd_structure_20260818_00036,6.49586123107904e-10,3144.9178935311074,685.4355243477925,314.9214877143589,1.0038316248159105,3e-07,-9.477477994132803,apd_structure_20260818_00036
APD_V_M10,apd_20260818_00077,apd_structure_20260818_00038,3.529172143277309e-09,4089.346553115755,620.3363071038782,302.4034960126382,1.0122644318625371,3e-07,-9.50003710565702,apd_structure_20260818_00038
APD_V_M10,apd_20260818_00071,apd_structure_20260818_00035,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,-9.495992096628576,apd_structure_20260818_00035
APD_V_M10,apd_20260818_00075,apd_structure_20260818_00037,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,-9.467916123469625,apd_structure_20260818_00037
APD_V_M10,apd_20260818_00078,apd_structure_20260818_00039,2.7931524829903005e-10,3869.140110076581,479.42182656125664,312.0339522830383,0.9975826335640016,1e-07,-9.497556457307596,apd_structure_20260818_00039
APD_V_M10,apd_20260818_00080,apd_structure_20260818_00040,1.038992950772766e-10,2987.6239563217123,631.6082776480476,296.7263462866393,0.9862323199779862,1e-07,-9.491872451103328,apd_structure_20260818_00040
APD_V_M10,apd_20260818_00084,apd_structure_20260818_00042,1.729806951214189e-09,3271.6406890531616,848.7251336541408,295.57733665718064,0.9851712089494288,1e-07,-9.499533406968444,apd_structure_20260818_00042
APD_V_M10,apd_20260818_00082,apd_structure_20260818_00041,4.429603981766808e-09,3946.129222683103,674.4845060365867,313.0131457471222,0.9883362141013856,1e-07,-9.48308275261151,apd_structure_20260818_00041
APD_V_M10,apd_20260818_00079,apd_structure_20260818_00039,2.7931524829903005e-10,3869.140110076581,479.42182656125664,312.0339522830383,0.9975826335640016,3e-07,-9.515098080964703,apd_structure_20260818_00039
APD_V_M10,apd_20260818_00083,apd_structure_20260818_00041,4.429603981766808e-09,3946.129222683103,674.4845060365867,313.0131457471222,0.9883362141013856,3e-07,-9.491023413126594,apd_structure_20260818_00041
APD_V_M10,apd_20260818_00081,apd_structure_20260818_00040,1.038992950772766e-10,2987.6239563217123,631.6082776480476,296.7263462866393,0.9862323199779862,3e-07,-9.4839944281883,apd_structure_20260818_00040
APD_V_M10,apd_20260818_00085,apd_structure_20260818_00042,1.729806951214189e-09,3271.6406890531616,848.7251336541408,295.57733665718064,0.9851712089494288,3e-07,-9.502904435224377,apd_structure_20260818_00042
APD_V_M10,apd_20260818_00088,apd_structure_20260818_00044,3.3051295309629207e-10,4297.875328749432,730.8926979971193,293.8101801049708,0.985565970849502,1e-07,-9.473162837014332,apd_structure_20260818_00044
APD_V_M10,apd_20260818_00092,apd_structure_20260818_00046,3.0853661645276177e-10,2099.303765177065,875.1570853709432,285.83631420396017,0.9815054876230254,1e-07,-9.50335158366348,apd_structure_20260818_00046
APD_V_M10,apd_20260818_00090,apd_structure_20260818_00045,7.559763143243246e-10,2747.2715839687603,721.0682656912672,290.84977101120853,1.013778519621368,1e-07,-9.530311715042382,apd_structure_20260818_00045
APD_V_M10,apd_20260818_00086,apd_structure_20260818_00043,2.33670854307673e-09,2600.131892296308,854.1353248743457,310.0595319977491,0.9981515771142008,1e-07,-9.492827626494158,apd_structure_20260818_00043
