dark_voltage,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,dark_current,tcad_model_space,bnn_model_space,formula_model_space,formula_minus_bnn,bnn_minus_tcad,formula_minus_tcad,formula_is_finite
-2.4000000000000004,1.032683367538443e-09,2526.170348943833,478.8149532207128,42.09307571557734,293.4443281911712,2.58139001163443e-07,-6.588146374725945,-6.5863543,-6.599539696682264,-0.013185441005994392,0.001792119049675911,-0.01139332195631848,True
-1.2000000000000002,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,3.018125336594749e-07,-6.520262728821125,-6.5188265,-6.5440065048026765,-0.025180020122500757,0.0014362441409492277,-0.02374377598155153,True
-3.0,1.1065063764088474e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,3.301436124651293e-07,-6.48129710092916,-6.480719,-6.4897342744843085,-0.009015184976251867,0.0005780114211031417,-0.008437173555148725,True
-2.2,1.0692616090001279e-09,2445.881237248077,515.6238842072526,38.37558042728467,295.9516778251947,2.59297252545616e-07,-6.586202084891272,-6.5835767,-6.557725907637452,0.02585077159228444,0.0026254056615355736,0.028476177253820012,True
-1.8,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,1.9732531894250922e-07,-6.704817186559542,-6.7048993,-6.719336350413205,-0.014437039347531488,-8.212450613154232e-05,-0.01451916385366303,True
-1.6,9.32148229008894e-10,2545.124905053194,512.7371789301767,40.07870713980076,299.5411124372077,3.222202192056312e-07,-6.491847211235475,-6.492966,-6.500317923284722,-0.007351748205376651,-0.0011189638438704463,-0.008470712049247098,True
-0.8,1.1037395013588123e-09,2531.0169366346463,492.6438219382251,36.10636397779454,299.96382807834965,2.2123817539540722e-07,-6.655139931919442,-6.6557393,-6.613622279126608,0.04211702827695607,-0.0005993754841222554,0.041517652792833815,True
-1.4,9.676899592457672e-10,2498.119875502734,535.4265253830317,42.346830624956574,300.5747457097431,3.398163343336408e-07,-6.46875574924429,-6.4720697,-6.481589794761568,-0.009520054466158001,-0.0033139910511197357,-0.012834045517277737,True
-0.2,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,1.4813471077070517e-07,-6.829343166124987,-6.8260326,-6.8329239622595335,-0.0068913237097287805,0.003310527575182576,-0.0035807961345462047,True
-0.2,9.454134520298419e-10,2570.8338282332857,490.849029568548,38.28868089781682,299.0569098093356,1.3147578902106442e-07,-6.881154214190366,-6.877968,-6.856780865730285,0.021186968742370915,0.003186379717710075,0.02437334846008099,True
