nominal_structure_id,process_variant_id,process_variant_index,process_variant_role,dataset_role,split,operating_case_id,actual_core_width_nm,actual_coupling_gap_nm,actual_ring_radius_um,actual_core_thickness_nm,delta_material_index,bias_v,temperature_c,resonance_shift_pm,quality_factor,drop_extinction_ratio_db,through_insertion_loss_db
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t40|v-4,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-4.0,40.0,1113.9789791134262,42048.449112760325,44.83525510819798,0.0001289505667362
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t40|v-10,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-10.0,40.0,1139.5152102766133,45257.54156546567,45.474197698037685,0.0001149868738031
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t60|v0,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,0.0,60.0,2149.906729367558,37362.05005099474,43.81468900410537,0.0001534987947506
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t60|v-1,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-1.0,60.0,2162.4735010079803,38642.26625941369,44.107385173599,0.0001461610266383
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t60|v-2,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-2.0,60.0,2172.922349742066,39632.81322782141,44.32728138353697,0.0001408087246235
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t60|v-4,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-4.0,60.0,2188.932343797205,41226.45377368219,44.66978011859452,0.0001327375235352
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p01,1,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p01|t60|v-10,428.5268817175375,380.8914805075453,9.82431799122325,119.83272474537996,-8.436816882990744e-05,-10.0,60.0,2214.4685749603923,44516.23665130964,45.33675076040364,0.0001179045861215
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p02,2,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p02|t20|v0,430.99723362482257,379.4106461467674,9.826723909616025,121.2388365661678,-9.142977956204555e-05,0.0,20.0,0.0,34921.46636697399,43.21391157888253,0.0001853175221255
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p02,2,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p02|t20|v-1,430.99723362482257,379.4106461467674,9.826723909616025,121.2388365661678,-9.142977956204555e-05,-1.0,20.0,12.565176169800909,35922.65470856763,43.45948941156515,0.0001775195536643
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p02,2,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p02|t20|v-2,430.99723362482257,379.4106461467674,9.826723909616025,121.2388365661678,-9.142977956204555e-05,-2.0,20.0,23.01121730511113,36690.98448872099,43.64335845839335,0.0001718237098625
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p02,2,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p02|t20|v-4,430.99723362482257,379.4106461467674,9.826723909616025,121.2388365661678,-9.142977956204555e-05,-4.0,20.0,39.01279883530151,37913.91091547612,43.92822032308001,0.0001632340397781
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p02,2,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p02|t20|v-10,430.99723362482257,379.4106461467674,9.826723909616025,121.2388365661678,-9.142977956204555e-05,-10.0,20.0,64.51091881467619,40385.688702907966,44.47692003149551,0.0001474619224499
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p02,2,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p02|t40|v0,430.99723362482257,379.4106461467674,9.826723909616025,121.2388365661678,-9.142977956204555e-05,0.0,40.0,1074.5507098167764,34206.56564238952,43.04025970144932,0.0001909661848161
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p02,2,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p02|t40|v-1,430.99723362482257,379.4106461467674,9.826723909616025,121.2388365661678,-9.142977956204555e-05,-1.0,40.0,1087.1158859865773,35229.058805621586,43.296148844655775,0.0001826816048594
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p02,2,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p02|t40|v-2,430.99723362482257,379.4106461467674,9.826723909616025,121.2388365661678,-9.142977956204555e-05,-2.0,40.0,1097.5619271218875,36015.35509719072,43.487931576161216,0.0001766305778026
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p02,2,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p02|t40|v-4,430.99723362482257,379.4106461467674,9.826723909616025,121.2388365661678,-9.142977956204555e-05,-4.0,40.0,1113.563508652078,37269.78236221261,43.785391119839545,0.0001675056703869
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p02,2,fabrication_realization,development,validation,ring_cv_dev_20260912_0001|p02|t40|v-10,430.99723362482257,379.4106461467674,9.826723909616025,121.2388365661678,-9.142977956204555e-05,-10.0,40.0,1139.0616286314523,39816.17201079104,44.35956388002754,0.0001507520165583
