sample_id,terminal_charge_bias_v,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,compact_port_positive_charge_C,compact_port_negative_charge_C,compact_port_charge_conservation_residual_C,production_source_row,split
133,-1.25,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-8.297865323417935e-16,8.297865323417935e-16,0.0,133,val
133,-1.0,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-6.343075703501489e-16,6.343075703501489e-16,0.0,133,val
133,-0.75,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-4.54259011835641e-16,4.54259011835641e-16,0.0,133,val
133,-0.5,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-2.88767754917904e-16,2.88767754917904e-16,0.0,133,val
133,-0.25,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,-1.3720128187162886e-16,1.3720128187162886e-16,0.0,133,val
133,0.0,1.016175641189933e-09,2547.6570837434488,498.1799092392847,42.56757336192149,293.18283111534566,0.0,-0.0,0.0,133,val
134,-3.0,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-2.5305236396992445e-15,2.5305236396992445e-15,0.0,134,train
134,-2.75,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-2.2219397545146123e-15,2.2219397545146123e-15,0.0,134,train
134,-2.5,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-1.93461609213208e-15,1.93461609213208e-15,0.0,134,train
134,-2.25,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-1.6671011078468965e-15,1.6671011078468965e-15,0.0,134,train
134,-2.0,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-1.4182658429759478e-15,1.4182658429759478e-15,0.0,134,train
134,-1.75,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-1.187203224814342e-15,1.187203224814342e-15,0.0,134,train
134,-1.5,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-9.729841676478096e-16,9.729841676478096e-16,0.0,134,train
134,-1.25,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-7.747689368917416e-16,7.747689368917416e-16,0.0,134,train
134,-1.0,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-5.917265084153575e-16,5.917265084153575e-16,0.0,134,train
134,-0.75,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-4.230317975876765e-16,4.230317975876765e-16,0.0,134,train
134,-0.5,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-2.6812728532324086e-16,2.6812728532324086e-16,0.0,134,train
134,-0.25,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,-1.268160377695539e-16,1.268160377695539e-16,0.0,134,train
134,0.0,8.241763212999094e-10,2472.357675267654,473.84577322091,39.21856251436128,307.7679942040925,0.0,-0.0,0.0,134,train
135,-3.0,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-2.769155472912051e-15,2.769155472912051e-15,0.0,135,train
135,-2.75,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-2.430608394067549e-15,2.430608394067549e-15,0.0,135,train
135,-2.5,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-2.11613899873383e-15,2.11613899873383e-15,0.0,135,train
135,-2.25,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-1.823990253386704e-15,1.823990253386704e-15,0.0,135,train
135,-2.0,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-1.5523990284759804e-15,1.5523990284759804e-15,0.0,135,train
135,-1.75,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-1.3000977321806977e-15,1.3000977321806977e-15,0.0,135,train
135,-1.5,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-1.0660025792436627e-15,1.0660025792436627e-15,0.0,135,train
135,-1.25,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-8.492017417681172e-16,8.492017417681172e-16,0.0,135,train
135,-1.0,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-6.488504107325473e-16,6.488504107325473e-16,0.0,135,train
135,-0.75,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-4.641019379912548e-16,4.641019379912548e-16,0.0,135,train
135,-0.5,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-2.9435226914007197e-16,2.9435226914007197e-16,0.0,135,train
135,-0.25,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,-1.393641751812203e-16,1.393641751812203e-16,0.0,135,train
135,0.0,1.000096056099185e-09,2446.239819629679,503.61049666576776,43.101977222602514,303.9832024614659,0.0,-0.0,0.0,135,train
136,-3.0,1.032683367538443e-09,2526.170348943833,478.8149532207128,42.09307571557734,293.4443281911712,-2.6807628384235097e-15,2.6807628384235097e-15,0.0,136,train
136,-2.75,1.032683367538443e-09,2526.170348943833,478.8149532207128,42.09307571557734,293.4443281911712,-2.354127806317676e-15,2.354127806317676e-15,0.0,136,train
136,-2.5,1.032683367538443e-09,2526.170348943833,478.8149532207128,42.09307571557734,293.4443281911712,-2.0499410643175613e-15,2.0499410643175613e-15,0.0,136,train
136,-2.25,1.032683367538443e-09,2526.170348943833,478.8149532207128,42.09307571557734,293.4443281911712,-1.7668277878133404e-15,1.7668277878133404e-15,0.0,136,train
136,-2.0,1.032683367538443e-09,2526.170348943833,478.8149532207128,42.09307571557734,293.4443281911712,-1.503526576530573e-15,1.503526576530573e-15,0.0,136,train
136,-1.75,1.032683367538443e-09,2526.170348943833,478.8149532207128,42.09307571557734,293.4443281911712,-1.2590426751213605e-15,1.2590426751213605e-15,0.0,136,train
136,-1.5,1.032683367538443e-09,2526.170348943833,478.8149532207128,42.09307571557734,293.4443281911712,-1.032215520486997e-15,1.032215520486997e-15,0.0,136,train
