parameter_degree,alpha,derivative_weight,q_validation_r2,q_validation_active_p95_relative_error,q_validation_rmse_C,dqdv_validation_median_relative_error,dqdv_validation_p95_relative_error,dqdv_validation_max_relative_error,q_accuracy_eligible,selected,selection_criterion
2,0.0001,10.0,0.9999824985804289,0.005118440529897348,3.3545686021160125e-18,0.05964729884534214,0.18356675069490813,0.19648993811814114,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.001,0.0,0.9999895898048043,0.0033897813826576522,2.5871968626711015e-18,0.08817725128810476,0.17168133794846863,0.1754832402483395,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.001,0.003,0.99998926533189,0.0033743762565372998,2.627207349410329e-18,0.08915715381412817,0.17272782890683913,0.1728589603908551,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.001,0.01,0.9999882235943498,0.0034716988841292764,2.7517337976400487e-18,0.08997216578002515,0.18179172097671828,0.18384675116826837,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.001,0.03,0.9999864422564791,0.003798337280645411,2.9525261070784173e-18,0.0742197312015966,0.1911477607271971,0.19679897496789517,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.001,0.1,0.9999841489647819,0.004445925451778877,3.19248492339856e-18,0.051659516773384734,0.19769605599503048,0.2066942854214781,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.001,0.3,0.9999822549630865,0.005087897366386153,3.377835479746586e-18,0.030923786831470606,0.20034113283951277,0.21080681743586446,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.001,1.0,0.9999809684450152,0.005326407291334378,3.498139919726302e-18,0.021595034965518484,0.20142248718111092,0.2124778873467403,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.001,3.0,0.9999804638033759,0.005570769799116736,3.544214910633486e-18,0.020443807192225428,0.20175346307416803,0.21298485447578458,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,0.001,10.0,0.9999802662475733,0.005606891539854455,3.562089910080845e-18,0.02003817610576173,0.20187212171572294,0.2131658748177614,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
