task,teacher_source,family,budget,terms,mean_teacher_rmse,mean_direct_rmse,mean_relative_reduction_teacher,pairs,mean_delta_teacher_minus_direct,median_delta_teacher_minus_direct,sample_sd_delta,corrected_standard_error,corrected_ci_low,corrected_ci_high,corrected_two_sided_p,teacher_wins,ties,teacher_losses,holm_p_global_72,holm_p_within_task_18,corrected_ci_favors_teacher,corrected_ci_favors_direct
I_photo,bkan_parameter_mean,additive_spline,6,43,0.00511660356683335,0.00527688682357189,0.026237792530115257,10,-0.0001602832567385397,-8.655102241309984e-05,0.00034537371360297776,0.0001740101470865572,-0.0005539215573699643,0.00023335504389288486,0.38101851569319284,5,0,5,1.0,1.0,False,False
I_photo,dkan,additive_spline,6,43,0.00519000228181804,0.00527688682357189,0.011829781579738883,10,-8.688454175385e-05,-5.621585355725014e-05,0.00020834425455016107,0.00010497039279772236,-0.00032434406770295876,0.00015057498419525874,0.42923800407312396,6,0,4,1.0,1.0,False,False
I_photo,mlp_l,additive_spline,6,43,0.004695722347926911,0.00527688682357189,0.09587285115106506,10,-0.00058116447564498,-0.0004160224406361498,0.0006095560277521091,0.00030711351173810797,-0.0012759035060154514,0.00011357455472549153,0.09099479882244034,8,0,2,1.0,1.0,False,False
I_photo,bkan_parameter_mean,additive_spline,8,55,0.005032514243976821,0.00509661638111906,0.0009577856140779134,10,-6.410213714223996e-05,-0.0003041648397127503,0.0006255583190312328,0.00031517596973513784,-0.0007770797146204523,0.0006488754403359724,0.8433580429814668,7,0,3,1.0,1.0,False,False
I_photo,dkan,additive_spline,8,55,0.00514122675800821,0.00509661638111906,-0.014217782221525,10,4.461037688914989e-05,3.0407384806500556e-06,0.0003223960715600837,0.0001624332878349509,-0.00032283924866354684,0.0004120600024418466,0.7897944079402581,5,0,5,1.0,1.0,False,False
I_photo,mlp_l,additive_spline,8,55,0.004658545371587471,0.00509661638111906,0.062222890265026996,10,-0.00043807100953159,-0.00022178355192219992,0.0008164718676970627,0.0004113642243002972,-0.0013686415360514347,0.0004924995169882547,0.3146458808040592,5,0,5,1.0,1.0,False,False
I_photo,bkan_parameter_mean,polynomial,1,7,0.007652880695493092,0.007631906498257882,-0.0026348468163483194,10,2.097419723521036e-05,1.2742127521500352e-05,5.3892595734594656e-05,2.7152785928095966e-05,-4.044967194195823e-05,8.239806641237895e-05,0.4596506093082419,3,0,7,1.0,1.0,False,False
I_photo,dkan,polynomial,1,7,0.00763748468710225,0.007631906498257882,-0.0007242538190122981,10,5.578188844369922e-06,5.760534802492709e-07,2.9463301427798953e-05,1.4844538577132359e-05,-2.8002490426324314e-05,3.915886811506416e-05,0.7157892416487809,4,0,6,1.0,1.0,False,False
I_photo,mlp_l,polynomial,1,7,0.00763963223627275,0.007631906498257882,-0.0010337015682946183,10,7.725738014870057e-06,5.666143638350437e-06,5.0307901885302325e-05,2.5346704343402207e-05,-4.961249076888561e-05,6.506396679862573e-05,0.7674473673031132,4,0,6,1.0,1.0,False,False
I_photo,bkan_parameter_mean,polynomial,2,28,0.00516773773530438,0.00546458672304733,0.055767783831758455,10,-0.00029684898774294993,-0.0003465636540921006,0.0002261411317001451,0.00011393701963866968,-0.0005545924328264464,-3.910554265945356e-05,0.02848586967762691,9,0,1,1.0,0.42728804516440366,True,False
I_photo,dkan,polynomial,2,28,0.00515351316154767,0.00546458672304733,0.05585529706691711,10,-0.00031107356149965995,-0.00035679245901784964,0.00020970280432349112,0.00010565487293205397,-0.00055008148908744,-7.206563391187989e-05,0.01637342808100485,9,0,1,0.7531776917262232,0.27834827737708245,True,False
I_photo,mlp_l,polynomial,2,28,0.004902017184686851,0.00546458672304733,0.10213325803821224,10,-0.0005625695383604801,-0.0005121165118017004,0.0002861495586807396,0.0001441711538360678,-0.0008887073466796228,-0.0002364317300413374,0.003607887600206765,10,0,0,0.19121804281095856,0.06494197680372177,True,False
I_photo,bkan_parameter_mean,polynomial,3,84,0.006564133744888581,0.00854965087741633,0.203243265962264,10,-0.00198551713252775,-0.0018297312766683,0.001687963975771336,0.0008504493773907395,-0.003909367283189485,-6.166698186601486e-05,0.0444063555519868,8,0,2,1.0,0.6216889777278152,True,False
I_photo,dkan,polynomial,3,84,0.00718697266422654,0.00854965087741633,0.12863591600630836,10,-0.0013626782131897902,-0.0020044848945130005,0.0017315882775431337,0.0008724286736396288,-0.003336248986294214,0.0006108925599146336,0.15273783012295358,8,0,2,1.0,1.0,False,False
I_photo,mlp_l,polynomial,3,84,0.00465097945217891,0.00854965087741633,0.39865248190474584,10,-0.00389867142523742,-0.0037051414434556003,0.0028163433823936617,0.0014189624366720993,-0.007108587465096804,-0.0006887553853780364,0.022567050575530375,9,0,1,0.9929502253233365,0.361072809208486,True,False
