task,source,source_kind,family,budget,terms,splits,mean_rmse,sd_rmse,median_rmse,mean_r2,min_r2,mean_formula_chars,mean_latency_per_point_s,min_test_finite_rate,min_dense_finite_rate,min_derivative_finite_rate,max_json_replay_error,pareto_mean_rmse_terms
I_photo,dkan,teacher_distillation,additive_spline,8,55,10,0.00514122675800821,0.0011085918681315446,0.0053849055065409,0.9470268746055256,0.9107578556856596,9560.7,1.3819033338222651e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_photo,dkan,teacher_distillation,polynomial,1,7,10,0.00763748468710225,0.0004175549505944928,0.0076633920311456,0.8873485531429353,0.8738800202787737,826.0,1.6530599968973547e-07,1.0,1.0,1.0,4.440892098500626e-16,False
I_photo,dkan,teacher_distillation,polynomial,2,28,10,0.00515351316154767,0.000635824488776674,0.0051480636728567005,0.9482478633887969,0.9338416593140452,1600.1,9.415913330546271e-07,1.0,1.0,1.0,4.440892098500626e-16,False
I_photo,dkan,teacher_distillation,polynomial,3,84,10,0.00718697266422654,0.002325852845760069,0.006401706352962999,0.891789398312181,0.7713742705820362,3656.8,3.0348896662083764e-06,1.0,1.0,1.0,4.440892098500626e-16,False
I_photo,mlp_l,teacher_distillation,additive_spline,4,31,10,0.00472303555305393,0.0006492137747801124,0.0048113168294719,0.9564284442622615,0.9373872595401688,7256.0,1.3603000009121992e-07,1.0,1.0,1.0,8.881784197001252e-16,True
I_photo,mlp_l,teacher_distillation,additive_spline,6,43,10,0.004695722347926911,0.00063244238391181,0.004775231371278549,0.9569545421380157,0.9382611360625892,8502.4,1.3319133276430271e-07,1.0,1.0,1.0,8.881784197001252e-16,True
I_photo,mlp_l,teacher_distillation,additive_spline,8,55,10,0.00465854537158747,0.0006450593849799946,0.0047296004344212,0.9576047109037198,0.938512426234936,9739.5,1.4530366694089025e-07,1.0,1.0,1.0,8.881784197001252e-16,True
I_photo,mlp_l,teacher_distillation,polynomial,1,7,10,0.00763963223627275,0.00041717463833401474,0.007650397298184499,0.8873017071922995,0.8710008207458801,825.4,1.492369999565805e-07,1.0,1.0,1.0,4.440892098500626e-16,False
I_photo,mlp_l,teacher_distillation,polynomial,2,28,10,0.00490201718468685,0.0006530170164344213,0.0050186669814449,0.953103326759272,0.9341837124167776,1598.3,9.306073332360636e-07,1.0,1.0,1.0,4.440892098500626e-16,True
I_photo,mlp_l,teacher_distillation,polynomial,3,84,10,0.00465097945217891,0.0006846075205092998,0.004758566479687851,0.9576523707988086,0.939069098330086,3669.2,3.0173769998752203e-06,1.0,1.0,1.0,4.440892098500626e-16,True
I_photo,tcad_direct,direct_tcad,additive_spline,4,31,10,0.00508221721650443,0.0010836952416563067,0.0049829880375249005,0.9483499232747189,0.915609751807838,7123.1,1.28708000217254e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_photo,tcad_direct,direct_tcad,additive_spline,6,43,10,0.00527688682357189,0.0010437102983347586,0.00552415564072695,0.9446008440722468,0.9126502313227398,8352.8,1.3338100009908279e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_photo,tcad_direct,direct_tcad,additive_spline,8,55,10,0.00509661638111906,0.0011837577144248443,0.005366876430744251,0.947544410347487,0.9055769641148816,9555.4,1.3646966700131694e-07,1.0,1.0,1.0,8.881784197001252e-16,False
I_photo,tcad_direct,direct_tcad,polynomial,1,7,10,0.00763190649825788,0.0004151931398965446,0.00769206677269395,0.88751256625608,0.8739280281431773,824.8,1.6841033298987896e-07,1.0,1.0,1.0,4.440892098500626e-16,True
I_photo,tcad_direct,direct_tcad,polynomial,2,28,10,0.00546458672304733,0.0006997777533135743,0.0055020351009097,0.941739088005886,0.9270123166559268,1599.0,9.237980000519504e-07,1.0,1.0,1.0,4.440892098500626e-16,False
I_photo,tcad_direct,direct_tcad,polynomial,3,84,10,0.00854965087741633,0.003164249552129985,0.00841335524529345,0.843292851758398,0.6351766763901013,3651.3,3.0299193328634525e-06,1.0,1.0,1.0,4.440892098500626e-16,False
