task,scenario,holdout_column,holdout_side,threshold,model,seed,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,param_count,train_time_s,infer_bs1_s,infer_per_sample_s,storage_points,n_train,n_test,n_fit,n_val,n_fit_curves,n_val_curves,validation_overlap_groups
I_photo,length_high,active_layer_length,high,41.61779436626771,mlp_l,43,0.004877751808738376,0.004152656052358751,0.9522071055325606,5.645373613448144e-06,4.805305786806321e-06,0.942253105206551,1.9709042261567498,2561,0.5822836000006646,,,,2048,512,,,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,mlp_l,44,0.004948481812846487,0.004231563229758922,0.9508110113905388,5.707714712316452e-06,4.888150155662218e-06,0.9657617877917948,2.0194666737186693,2561,0.5535676999716088,,,,2048,512,,,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,dkan,42,0.0117150233907474,0.009483586293641839,0.7243168285563353,1.3296070326664e-05,1.0906121591562255e-05,1.8131607764178186,5.244516587842447,952,4.0082816000212915,,,,2048,512,,,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,dkan,43,0.008966335412938837,0.007359917461044728,0.83850692725873,1.039182659745635e-05,8.513801443924825e-06,1.4501480491754963,3.9772267246669624,952,3.830384500033688,,,,2048,512,,,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,dkan,44,0.007791335026122082,0.006319554621291517,0.8780595776829607,9.026750077835873e-06,7.345786394955456e-06,1.141020576208387,3.5197154761513274,952,3.7715726000024006,,,,2048,512,,,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,bkan,42,0.011811785594937866,0.009895608941415068,0.7197439179109673,1.3677046865581977e-05,1.1523686805011586e-05,1.8934743584953297,5.443603021805006,1664,90.08428360003745,,,,2048,512,1740.0,308.0,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,bkan,43,0.010315631499834737,0.008138984883243706,0.786245347879658,1.182692657136159e-05,9.41378991642923e-06,1.4945425725260293,4.971081840271572,1664,94.2009992999956,,,,2048,512,1740.0,308.0,,,
I_photo,length_high,active_layer_length,high,41.61779436626771,bkan,44,0.011549316693158075,0.009585044783706184,0.7320606394030251,1.3383461626457528e-05,1.1160750990864253e-05,1.788527654336621,5.355946874855853,1664,87.11436910001794,,,,2048,512,1740.0,308.0,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,pdk_lut_knn,deterministic,0.009174028005561503,0.006921660085087888,0.8415506167570516,1.0089517104694287e-05,7.757466966049196e-06,1.3317752475858655,4.3120110405333465,14336,0.0022188000148162246,0.00029461666708812116,1.1711074220481047e-05,2048.0,2048,512,,,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,poly3_ridge,deterministic,0.014677369032694593,0.011102740602384784,0.5944290336386133,1.6258409217102528e-05,1.2431483467962083e-05,2.0250555953949254,6.9882709221024495,84,0.0027183000347577035,0.00015860666753724216,4.861263050770504e-07,0.0,2048,512,,,,,
